label,text
negative,"Hari ini orang itu menawar diri nak kembali menjadi perdana menteri…hanya ketika saya menjadi perdana menteri, baru jalan ini diluluskan"
positive,Saya harap mereka baca dengan baik
positive,Kita akan mengambil tindakan tegas jika terbukti mereka ini melakukan perbuatan yang boleh dikira sebagai tidak bermoral seperti ini
positive,Saya tidak akan khianati rakyat yang mengharapkan berlaku peralihan kuasa politik BN kepada Harapan pada PRU14
positive,Ini yang saya pelik. Adakah ada campur tangan pihak tertentu? Saya minta pihak berkaitan menyiasat perkara ini
negative,Pas tidak lagi releven sebagai parti politik dan tidak ada arah.
negative,Ini satu penghinaan kepada exco-exco kita
negative,"memandangkan pengisytiharan tersebut turut melibatkan ahli keluarga para wakil rakyat, privasi mereka akan dikompromi."
positive,"Sudah sampai masanya kita lupakan persengketaan, perbalahan dan permasalahan antara kita serta perlu berjiwa besar"
positive,saya mahu sistem pendidikan dan kesihatan yang lebih baik untuk anak-anak saya
positive,Tiada kaum atau mana-mana bangsa akan merestui tindakan keji ini
positive,Ia sekaligus mewujudkan hubungan baik antara pemimpin dan masyarakat
positive,"Jumlah ini mewakili semua penyedia perkhidmatan ‘e-hailing’ bukan sahaja Uber dan Grab tetapi semua syarikat tempatan,"
negative,Jadi ia tidak seragam
negative,"Akhirnya, GPS telah menyebabkan kami terlupa kepada individu murid yang unik dan berkebolehan"
negative,jiran sekampung yang mengenali turut menzahirkan rasa simpati dengan kejadian yang menimpa pasangan itu.
positive,"teknologi juga menjimatkan kos, masa dan tenaga."
positive,"Pelabuhan Klang ketika ini adalah pelabuhan ke-12 terbesar di dunia, jadi kita nak buat secara holistik"
positive,kita ingin memastikan supaya sekolah tahfiz tidak menggadaikan kualiti pendidikan untuk anak-anak kerana mereka inilah masa depan negara
negative,kejatuhan nilai ringgit secara automatik menyebabkan kos mengimport makanan dan ubat-ubatan naik
positive,Ada gelombang sokongan. 
negative,"Kerajaan juga memberi alasan bahawa pada 2014 sehingga 2016 tiada kejadian banjir monsun melanda Pulau Pinang, kecuali kejadian banjir kilat sahaja"
negative,ia pandangan peribadi pemilik akaun dan tidak semestinya menggambarkan pendirian sidang redaksi kami
positive,Kita tidak mahu apa-apa kaedah di pentadbiran itu dijadikan bahan politik yang boleh mewujudkan percanggahan kepentingan antara tugas dalam hal politik
positive,Taubat boleh mengenai tekad anda mahu menebus kesilapan yang dilakukan terhadap orang lain
positive,"Bagaimanapun, persiapan kita kali ini luar biasa berbanding sebelum ini."
positive,Sesi pertemuan berlangsung harmonis dalam dua jam
positive,Setakat ini tak ada seorang pun yang terkorban dalam kejadian keganasan di Malaysia.
positive,"Dalam erti kata lain, kemudahan ini akan menggalakkan penyertaan awam yang lebih berkesan bagi memastikan pelaksanaan dan penambahbaikan NHRAP dari semasa ke semasa"
negative,"Kalau Proton tidak dibantu atau diselamatkan, bermakna bukan 10,000 pekerja yang bekerja secara langsung hilang pekerjaan, tetapi 50,000 pekerja yang terlibat secara tidak langsung akan hilang pekerjaan."
positive,"Sebelum sekatan dikenakan, LHDN perlu memastikan notis tunggakan cukai disampaikan kepada individu atau syarikat mengikut undang-undang seperti yang diamalkan Jabatan Perkhidmatan Awam (JPA)"
negative,"Saya fikir berucaplah sekuat mana sekali pun, tulislah sebanyak mana kertas cadangan tapi sekiranya rejim yang sama terus mentadbir negara, perubahan tuntas yang kita mahukan mustahil akan terlaksana kerana 'political will' itu tidak wujud"
positive,Walaupun Mary berusia 69 tahun tetapi prestasi cara kerjanya sangat baik seperti orang muda.
positive,Tidak betul untuk mengklasifikasikan taubat dengan pergi ke madrasah untuk belajar Islam atau sembahyang
negative,sanggah isu remeh yang tidak mempunyai fakta
positive,"Jadi itulah sebab saya ingin jadikan tahun ini tahun teristimewa dan saya akan bekerja lebih kuat, malah timbalan saya pun akan kerja lebih gigih lagi"
positive,"Di bawah pelan Transformasi Negara 2050 (TN50) pula penubuhannya antara lain, turut mengambil kira kemudahan masyarakat kawasan bandar dengan kepadatan penduduk tinggi memperoleh manfaat kesihatan"
positive,parti gabungan itu tetap  mempunyai peluang yang baik untuk merampas kembali kerusi yang terlepas daripada genggamannya  berdasarkan barisan calon yang kuat serta berkemampuan yang diumumkan itu.
positive,"Tempoh kepada lembaga siasatan ialah selama 3 bulan, tetapi saya percaya ia dapat dilakukan dalam masa yang lebih pendek"
negative,"Hari ini jelas, rakyat terhimpit dengan kos sara hidup yang tinggi, GST, selain isu-isu yang melanda kepimpinan kerajaan BN"
positive,"Orang kata ekonomi susah, rakyat hidup sukar, cuba pergi ke lapangan terbang KLIA, berapa ramai rakyat Malaysia yang melancong ke luar negara, pergi pasar raya penuh orang tidak berkurangan."
negative,"Berbanding membina jambatan, ia lebih kepada perpisahan dan kelebihan satu komuniti berbanding yang lain"
negative,Saya pernah menguruskan permohonan PRA beberapa tahun lalu dan perlu naik turun beberapa kali ke pejabat Kementerian Dalam Negeri (KDN) dan Jabatan Imigresen dengan terlalu banyak borang dan dokumen harus disediakan
positive,sebulat suara memutuskan demikian selepas membenarkan rayuan syarikat perlombongan emas itu.
positive,Kita beralih pula kepada konsep participatory democracy dengan rakyat terbanyak diberikan peluang untuk menyuarakan pendapat dalam pelaksanaan kuasa oleh pihak kerajaan selepas mereka mendapat mandat pemerintahan melalui proses pilihan raya.
negative,Macam mana mereka boleh terlupa dan terlepas pandang?
positive,Permatang Pauh kubu tradisi Umno sebelum ini
positive,Saya mengalu-alukan pembangunan di sini dan harap kemudahan yang kerajaan beri dapat digunakan sebaik mungkin
negative,"Orang ini terpaksa, bukan kerana kesilapan mereka tapi kerana dasar kerajaan yang kononnya ekonomi menguntungkan negara dengan KDNK, pendapatan perkapita tinggi tapi graduan ini masih menganggur."
positive,"Saya tahu, zaman kerajaan betul semua, benar semua telah berlalu."
positive,"Kalau dibuka pasar raya di sini, dapat beri peluang anak-anak muda bekerja sebab pada masa ini, ramai yang bekerja di Bentong atau Raub"
positive,semua negara menangani isu ini dan tiada negara yang terkecuali kata beliau
positive,Saya sedia beri kerjasama kepada pihak polis kerana yakin tidak melakukan apa-apa kesalahan.
positive,"Meskipun tidak dicalonkan semula untuk mempertahankan kerusi, dia akan tetap membantu sesiapa sahaja yang mengantikan tempatnya."
negative," Sekarang ini, kita nak tutup hutang itu dengan mengadakan projek lain, jadi ia memakan masa."
positive,kerjasama erat di antara sektor swasta dan pihak universiti adalah tunjang bagi membantu malaysia berada dalam kelas ekonomi berpendapatan tinggi
negative,rakyat Malaysia lupa bahawa pengundian untuk parti harus menjadi pertimbangan kedua.
positive,Pasukan kami melakukan yang terbaik untuk menyelesaikan masalah ini secepat mungkin
positive," Saya ingatkan jentera BN tadi (semasa berucap) apa yang ada di dalam dewan ini tidak cukup, sebaliknya jentera mesti mendekati pengundi di luar dewan"
positive,Ini sahaja cara yang dapat menyelamatkan sebahagian besar hasil negara
negative,"Walaupun ada BR1M untuk B40, ia hanya seperti beri Panadol kepada pesakit kritikal"
negative,"Kalau kamu tidak berani menyoal saya di pejabat kamu sendiri, kenapa hendak tulis artikel bantai saya"
positive,"Perjalanan masjid harus diatur dengan baik dan bagi masjid baharu, pilih ahli pentadbir yang tepat"
positive,Kita mesti perkukuhkan parti kerana pilihanraya kali ini bukan pilihanraya biasa-biasa dan kita harap Terengganu dapat memantapkan kedudukan demi kelangsungan parti pada masa depan
positive,"Pembayaran fasa pertama BR1M 2018 telah mula diagihkan Isnin lepas dan kepada penerima yang belum mendapatnya, perlulah menunggu sekurang-kurangnya dalam masa seminggu."
positive,walaupun dalam peperangan ada pihak yang menang dan ada yang kalah namun kekalahan secara bermaruah dengan memberikan fakta yang lengkap dan jelas pasti akan memberikan persepsi positif
positive,akan digunakan sebagai program untuk meningkatkan produktiviti perkhidmatan awam
positive,Program hari ini membuka mata kami tentang komuniti orang asli
negative,Di Selangor terdapat ‘kelawar-kelawar politik’ berkeliaran hanya bila tiba musim buah.
positive,"Walaupun akta ini digubal, ia tidak bermakna kerajaan mengawal freedom of speech rakyat"
positive,"Ketua Penerangan Bersatu, Kamaruddin Mohd Noor suruh saya ‘mengemas’ barang-barang kerana Bersatu akan ambil alih Kedah tetapi di sini mereka yang perlu ‘mengemas’ barang mereka."
negative,Produktiviti kita merosot. Kerajaan kata produktiviti kita meningkat. Tak mungkin
negative,Sana sini tidak jadi.
negative,Ini melampau.
positive,"Sebagai pesara polis dan kini anggota RELA, saya tidak pernah gentar berhadapan musuh (pengganas Kiram) yang cuba mengganggu keamanan dan kestabilan bumi merdeka ini"
positive,"Jadi, saya anjurkan semua pihak termasuk pemaju perumahan supaya melaksanakan pendekatan ini."
positive,Kita terharu apabila beliau (Khairy) mendekati MBM dalam usaha mengumpulkan idea daripada semua pihak bagi membentuk manifesto terbaik terutama dalam memberi penekanan kepada penyelesaian isu golongan muda.
negative,Saya juga kesal apabila perkataan ‘haram jadah’ disebut oleh beliau kerana tidak sesuai diucapkan selaku orang ilmuwan agama
positive,Calon muda lebih mudah memahami apa yang dikehendaki golongan muda daripada kerajaan. Ini adalah barisan calon terbaik  dan sejajar dengan semangat
positive,"Jadi, saya kata, biar kita lakukan ini sebagai sebahagian daripada tanggungjawab sosial korporat"
negative,"Hospital kerajaan, dulu ubat tak perlu bayar, kita bayar seringgit saja ubat percuma."
positive,"Sudah, cukuplah... jangan pandai-pandai membuat komen mengenai Taman Ilmu yang dibangunkan untuk pendidikan masa depan rakyat Terengganu."
negative,"Ayatnya berbunyi, ‘strategi politik calon Perdana Menteri sementara Pakatan Harapan yang diketuai oleh DAP, Tun Dr Mahathir Mohamad dibimbangi mencontohi perbuatan Abdullah Bin Ubay’."
negative,beliau berkata sekiranya negara akan bankrap kerajaan tidak akan mampu membentangkan bajet dengan peruntukan rm bilion
negative,"Kami akan keluar mengundi tetapi kerana kami tidak setuju dengan kedua-dua pihak, kami akan rosakkan undi,"
positive,mengeluarkan kenyataan terbaru di media sosial untuk membuka permohonan kepada sesiapa yang berminat bekerja di pejabatnya
positive,Inilah masanya negara perlukan perubahan secara menyeluruh
negative,"Kita sanggup keluarkan arahan yang melukakan hati rakyat, meragut nyawa rakyat"
positive,Latihan dan pendedahan (diterima) oleh Wan Saiful dan Maria Chin Abdullah dalam pergerakan sosial akan membolehkan mereka menjadi lebih proaktif dalam menangani isu
negative,berkata kuman penyakit itu mudah berjangkit daripada seorang kanak-kanak kepada kanak-kanak yang lain menerusi alat dan barang permainan yang diguna bersama.
positive,Anggota yang bertugas juga dibekalkan dengan alat komunikasi Government Integrated Radio Network (GIRN) oleh Majlis Keselamatan Negara
positive,"Parti yang inginkan kerusi tersebut kena tunjuk (mereka) boleh menang, kemampuan dari segi jentera, calon dan pengundi (di situ) kenal parti tersebut"
negative,"Kadang-kadang pemangsa menyembunyikan identitinya, menyebabkan mangsa sukar melawan atau mempertahankan diri"
positive,Saya harap kerajaan akan bantu kami dan tolong henti hadkan kreativiti serta idea kami
negative,krisis ini akan melimpah di seluruh asean
negative,Bukan berdasarkan jumlah dan emosi ke­terujaan membuta tuli
negative,Pilihan raya yang sukar diramal
negative,Rakyat Malaysia berulang kali dalam pilihan raya telah membuktikan kemampuan memilih dengan bijak.
positive,"Kita minta kerajaan jangan hanya mengambil tindakan undang-undang, gunakan pendekatan lain untuk mereka yang salah guna tanaman ini."
positive,Lagipun ini negara demokratik dan sesiapa pun boleh bertanding jika mereka mahu
positive,Plaintif (LTAT) telah menjelaskan semua permohonan pesara tentera yang telah lengkap dan diterima daripada Urusan Gaji Angkatan Tentera telah diproses dan pembayaran telah dibuat
negative,"Perkara ini sensitif, andaian bukan-bukan boleh jejaskan ketenteraman awam dan keselamatan negara"
positive,Usaha kita dalam aspek ini adalah “the new battleground” yang perlu kita beri tumpuan lebih
positive,"Maknanya, Kementerian Kewangan dan menteri perlu memberi laporan kepada parlimen supaya anggota parlimen dapat mengikuti setiap perkembangan dan tidak timbul masalah baru"
positive,Ini menjadikan potensi untuk India menjadi ekonomi besar adalah tinggi sama seperti apa yang dilakukan China beberapa tahun lalu sehingga menjadi ekonomi kedua terbesar dunia
positive,teknologi komunikasi media sosial telah berjaya menyampaikan maklumat serta menarik minat sukarelawan menyertai kempen ini
positive,"Hospital Medan Malaysia di Cox’s Bazar, Bangladesh bagi misi bantuan kemanusiaan Rohingya yang memulakan operasi pada 1 Disember lalu akan diteruskan sehingga akhir tahun ini"
positive,"Kawasan terbabit dijaga oleh tentera, polis dan Jabatan Sukarelawan Malaysia (RELA), namun kami diberi kepercayaan oleh kerajaan bagi membantu mereka di sana"
positive,Tidak ada satu pun taifah yang mengancam keselamatan negara
negative,disebabkan rasa kecewa kerana tidak memperoleh sesuatu atau kehendak mereka ditolak.
positive,"Sebagai langkah proaktif, ada pihak yang mengambil langkah menganjurkan gerakan besar-besaran mewujudkan pemantau sukarela"
positive,prinsip yang dibawa oleh demokrasi seperti yang dibawa di negara yang mengamalkan demokrasi serata dunia.
negative,pembangkang tidak sepatutnya membuat tuduhan sebegitu sehingga mengelirukan rakyat
negative,Rizal yang berkata pihaknya akan membuat laporan pada SKMM mengenai perkara itu dan mencabar pemilik suara tersebut untuk tampil membuat tuduhan secara terbuka.
negative,"Suatu ketika rakyat Malaysia dikejutkan dengan kontrak pelantikan Apco Worldwide sebanyak hampir RM77 juta setahun yang hanya terdedah apabila diasak oleh Datuk Seri Anwar Ibrahim, bekas Ketua Pembangkang di Parlimen"
positive,"Gabungan harga minyak yang kukuh, dolar US yang secara menyeluruh lemah selain sentimen risiko yang positif susulan laporan Tabung Kewangan Antarabangsa (IMF) menunjukkan pertumbuhan global yang menyeluruh sejak 2010."
negative,Kita tidak boleh menolak kemungkinan kempen semasa PRU-14 boleh mendatangkan bahaya kepada orang ramai dan pekerja pilihan raya kerana pilihan raya umum kali ini dianggap ibu kepada segala pilihan raya yang bakal menjanjikan pertarungan sengit.
positive,mempertikaikan tindakan Nazifuddin yang didakwa meminum wain dan berhibur dengan pelakon Taiwan itu ketika bapa dan keluarganya cuba mengumpul wang bagi membayar ikat jamin bekas perdana menteri
positive,"Kalau dahulu, jarang sekali seorang ayah bawa anak-anak mengerjakan umrah, sebaliknya anak itu bawa ayah dan ibu selepas dia bekerja dan mampu."
negative,dakwaan itu juga boleh menyebabkan dunia kurang keyakinan terhadap keupayaan negara mengawal tempat-tempat keselamatan.
positive,"Ia adalah usaha yang menguntungkan, dan kemudian sudah tentu kerajaan memutuskan untuk ‘bermain-main’ dengannya"
negative,"Kita boleh lihat sekarang di media sosial, parti pembangkang dan pemimpinnya bebas untuk memberi pandangan dan pendapat, tidak ada sekatan pun"
positive,"Tapi ada raya sebelum raya puasa dan raya itu dah nak dekat,"
positive,Ini membuktikan karnival ini mendapat sambutan yang mengalakkan daripada rakyat
negative,lantaran itu myanmar ataupun asean tidak boleh berselindung di sebalik prinsip tidak campur tangan dan kedaulatan
negative,Bagi saya ia tak berjaya tapi yang berjaya adalah mereka yang menjual beg plastik
negative,tidak menyerahkan nasib mereka kepada pembangkang yang sehingga kini masih gagal menunaikan janji.
negative,sebagai tidak beretika kerana gagal mendapatkan penjelasan daripada pihaknya de­ngan adil.
positive,Gerak kerja kita sekarang ke arah pilihan raya umum dan ke arah pertandingan tiga penjuru
positive,"Perpindahan ke kampung baharu tersebut akan dilakukan sebaik pembinaan rumah siap termasuk disediakan kemudahan jalan, elektrik dan air bersih supaya dapat tinggal dalam keadaan selesa"
positive,Wakil-wakil rakyat Pakatan Harapan telah pun bertemu dengan kempen SKL untuk menyatakan sokongan mereka.
positive,"Keutamaan saya hingga kini tidak berganjak iaitu mahu  pastikan berlaku peralihan kuasa, bukannya jadi calon."
positive,Sedangkan majoriti Melayu kuat di Dun Tanjung Lumpur dan Inderapura... amat baik jika Umno diberi peluang sekali lagi
positive,perancangan teliti amat diperlukan dan semestinya memerlukan maklumat sahih de­­mi andaian dan jangkaan apa yang akan berlaku menjadi ke­nyataan
positive,"Memang sangat bagus jika doktor, pakar atau jururawat kerajaan pergi bertugas di luar negara untuk tingkatkan kemahiran mereka, kemudian pulang berkhidmat dalam negara"
positive,Sambutan forum itu amat menggalakkan bila mana pihak penganjur telah menerima banyak soalan secara atas talian seminggu sebelum forum diadakan dan ia datang daripada bekas pelajar daripada pelbagai peringkat umur.
positive,Seolah-olah Shahrir sedang berusaha untuk menyelamatkan Felda
positive,"Bagi saya senang sahaja, bagi orang yang tidak membuat cerita bohong atau berita palsu, mereka tidak perlu takut dengan undang-undang ini"
negative,tidak merasakan tindakan mereka itu menjejaskan parti kerana kita sendiri tidak memerlukan pemimpin seperti itu
negative,Tindak tanduk plaintif sendiri yang mencetuskan notis usul itu dibuat kerana beliau telah mencemarkan profesion undang-undang.
positive,Semoga semua tabah dan mengikuti panduan pihak berkuasa
positive,"berkata sepanjang pengalamannya bertugas, semua anggota polis dan tentera memang diberikan kebebasan sepenuhnya untuk memilih mana-mana calon ketika mengundi, biarpun kebanyakan menunaikan tanggungjawab berkenaan secara undi pos"
positive,menyifatkan kehadiran beliau cukup memberikan sokongan kepada pakatan.
positive,Bukan semua yang dilakukan oleh kerajaan membawa keburukan kepada rakyat
negative,masalah utama be­liau ketika berdepan media-media propembangkang adalah kerana mereka hanya mahu mende­ngar jawapan bersesuaian dengan corak penulisan masing-masing.
positive,Manifesto itu sudah siap cuma kita rasa perlu perkemaskan lagi dan saya percaya ia adalah untuk manfaat semua rakyat di Pahang
positive,"Islam bukan hanya mengenai hubungan seseorang dengan Tuhan, tetapi juga tingkah lakunya sesama manusia dan bukan hanya umat Islam"
positive,Kalau nak berpihak kepada 'government of the day' itu tak apa. 
positive,Kepimpinan sekarang mewarisi perjuangan terdahulu khususnya Tuan Guru Nik Aziz yang tidak pernah keluar PAS dan meninggal (ketika berada) dalam parti
positive,"Jika tiada pengesahan, guru itu perlu dibawa menjalani rawatan untuk mengesahkan sama ada guru itu mengalami masalah mental atau tidak"
positive,Sedangkan Datuk Mufti kita kenali merupakan seorang yang lembut dan baik
negative,yang jika sabit kesalahan boleh dipenjara
positive,"Memang kalau kita dapat bukti sahaja, kita memang ambil tindakan tegas kepada penghuni yang membuang sampah merata"
negative,"amat kritikal bagi mereka yang mengatur GSPS, mu­ngkin nampak hebat tetapi hakikatnya isi hati sasaran iaitu mereka yang akan mengundi amat sukar untuk ditentukan secara sahih."
positive,Sebenarnya beliau sendiri sudah menyatakan tidak senang dengan sikap DAP dan Pakatan Rakyat yang makin terbuka menunjukkan perkara-perkara yang negatif terhadap hubungan agama dan kaum
positive,Kita masih berharap ‘untung sabut timbul’ dan kita mampu raih kemenangan
positive,Sandakan mempunyai persekitaran yang aman dan tenang. Udaranya masih segar dan tidak banyak kesesakan trafik buat masa ini
positive,Saya ambil maklum keadaan banjir di Sarawak
positive,Namun perlu seiring dengan sikap penduduk
positive,Jika keadaan sekolah-sekolah ini terbiar tanpa penyeliaan maka pastinya akan menyuburkan kebangkitan dissenters (penentang) dan pelampau di negara ini kerana tekanan perasaan sebagai rakyat kelas kedua dan tidak dapat menyesuaikan diri dengan aliran perdana.
negative,jelas membuktikan mereka tikam belakang
negative,"Tindakan Puad yang menyifatkan berita palsu sebagai 'jenayah berat' memang mengejutkan, memandangkan JASA adalah unit propaganda kerajaan dan menyebarkan maklumat yang salah"
negative,Tetapi tiada siapa dengar tentang harga yang dibayar untuk tanah itu
positive,rais saniman dari organisasi kerjasama dan pembangunan ekonomi oecd dan jack parkinson dari university of nottingham beliau telah menulis secara terperinci isu ini
negative,suka tidak suka kita memerlukan dasar ekonomi dan belanjawan yang lebih praktikal
positive,hakikatnya ekonomi malaysia akan terus berkembang pada kadar yang jauh melebihi purata antarabangsa seperti mana yang dilaporkan bank dunia kata kementerian kewangan
positive,"Justeru, kemudahan seperti ramp (tanjakan) dan tandas bergerak perlu disediakan untuk kemudahan mereka."
negative,"Mereka lebih memberi tumpuan pada keperluan harian, berbanding membantu jentera parti"
positive,Peningkatan ini disokong sebahagiannya daripada pemulihan harga minyak mentah dunia
positive,"Kita tidak boleh kata kos sara hidup itu naik semata-mata tentang satu harga barang sahaja, sebab kalau ikutkan barang juga terbahagi kepada beberapa faktor"
negative,langkah yang dilaksanakan ini sebenarnya satu pembaziran kerana terpaksa membelanjakan kos penghantaran menggunakan perkhidmatan pos.
positive,"Kalau nak kira, memang boleh (dapat 40,000) undi...kita bekerja untuk rakyat  sejak lepas pilihan raya dulu lagi"
positive,"Saya  meminta supaya orang awam melaporkan kes sedemikian kepada pihak berkuasa seperti mana yang diperuntukkan di bawah seksyen 29A Akta Kanak-Kanak 2001,"
positive,"Untuk pilihan raya umum yang akan datang ini, pengundi di Kuala Lumpur haruslah mengundi calon yang akan menyokong pewartaan pelan tersebut."
negative,"Nama MAIPs, polis dan saya dikaitkan dengan kehilangan aktivis Syiah berkenaan"
positive,Kita akan salurkan bantuan seberapa segera terhadap mangsa banjir setelah mendapatkan maklumat lengkap
positive,Lembaga yang diletakkan di bawah seliaan Kementerian Pengangkutan ini akan berfungsi sebagai badan kawal selia dalam aspek keselamatan dan sekuriti bagi industri penerbangan awam negara.
positive,"Pada saya, isu-isu yang dipolitikkan ini tidak lagi berbangkit dan tidak perlu dipanjangkan kerana perdana menteri sudah memberi penjelasan yang tepat mengenainya"
positive,terselamat dalam cubaan bunuh ke atasnya dalam satu kejadian yang mungkin akan meningkatkan ketegangan politik\
positive,"Apa sahaja bentuk kerjasama yang memberi impak positif kepada IPT di negara ini, pihak kementerian akan sentiasa memberi sokongan dan galakan kerana ia merupakan peluang keemasan yang perlu digarap oleh semua pelajar dan tenaga pengajar"
positive,"Tidak kira Parlimen atau DUN, paling mustahak bukan kerusi kami rebutkan, tetapi solidariti daripada kami dan seluruh pengundi juga jentera parti"
positive,"Yang penting, kita perlu pilih calon yang pengundi suka, bukan calon yang kita suka,"
negative,"Isu ini berlegar setiap kali tiba musim pilihan raya sejak dahulu lagi. Walaupun kebenaran berita ini boleh diragui, namun ia mampu mencetus kebimbangan seterusnya menjejaskan kredibiliti sistem pilihan raya secara keseluruhannya."
positive,itulah yang menjadi harapan masyarakat Islam di negara ini.
positive,mempunyai rekod prestasi cemerlang untuk menjalankan tugas secara adil.
positive,"Maknanya jelas, tak payahlah saya cakap panjang sebab orang Langkawi pun faham, orang India Langkawi pun faham bahawa hanya BN sahaja yang kita boleh letakkan harapan kita."
positive,Kami menolak sebarang percubaan untuk merosak atau memusnahkan Tanah Suci dan akan menjaga tempat itu sebaik-baiknya serta memberi tumpuan kepada kepentingan Islam
positive,"Penyerahan bantuan ini secara simbolik dijangka dibuat perdana menteri untuk pesawah di seluruh negara termasuk (kira-kira 57,000) pesawah di kawasan Lembaga Kemajuan Pertanian Muda (MADA) pada pertengahan Mac ini"
positive,Di waktu itu kita perlu pertahankan industri kita
